               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090634,            0.038873,             0.04938,          0.00086213,             0.11437,          0.00063276,          0.00015082,            0.072561,            0.018823,            0.046697,            0.070095,           0.0033228,           0.0033228
                   1,            0.080209,            0.039655,             0.04815,              0.1751,            0.011494,           0.0037128,          0.00081605,            0.063895,            0.018752,            0.036764,            0.040029,           0.0065902,           0.0065902
                   2,            0.077246,            0.038811,            0.044446,             0.84393,            0.017316,            0.010573,            0.002921,            0.063049,            0.027922,            0.044362,           0.0098974,           0.0097916,           0.0097916
                   3,            0.074587,            0.038494,            0.040456,             0.84588,            0.024892,            0.010742,           0.0029477,            0.060024,            0.016609,            0.030725,            0.009703,            0.009703,            0.009703
                   4,            0.072622,            0.038652,            0.037333,             0.85343,            0.034731,            0.015135,           0.0040709,             0.05887,            0.019571,            0.031973,            0.009703,            0.009703,            0.009703
                   5,            0.070594,             0.03965,            0.033412,             0.54063,             0.14555,            0.034723,           0.0090921,              0.0563,            0.024305,            0.025941,            0.009604,            0.009604,            0.009604
                   6,            0.067121,            0.039996,             0.02787,             0.52962,             0.10436,            0.028237,           0.0072121,            0.052815,            0.019785,            0.016254,            0.009505,            0.009505,            0.009505
                   7,            0.065607,            0.039817,            0.025029,             0.54763,             0.10418,            0.029379,           0.0099837,            0.058412,            0.058815,            0.051426,            0.009406,            0.009406,            0.009406
                   8,            0.062886,            0.040857,            0.022668,              0.5701,             0.15272,            0.066166,            0.019102,            0.048404,            0.021954,            0.012325,            0.009307,            0.009307,            0.009307
                   9,            0.060938,            0.040328,            0.020467,             0.61718,             0.20352,             0.10539,            0.031798,            0.046377,            0.019846,            0.012894,            0.009208,            0.009208,            0.009208
                  10,            0.060411,            0.040291,            0.019811,             0.48479,             0.21308,              0.1564,            0.044662,             0.04581,            0.021775,           0.0097118,            0.009109,            0.009109,            0.009109
                  11,            0.057554,             0.03989,            0.017141,             0.51533,             0.30592,              0.1923,            0.061377,            0.040597,            0.020858,           0.0074483,             0.00901,             0.00901,             0.00901
                  12,            0.055846,            0.039272,            0.015763,             0.41177,             0.31279,             0.24026,            0.078271,            0.041397,            0.021261,           0.0066896,            0.008911,            0.008911,            0.008911
                  13,            0.055564,            0.040632,            0.014073,             0.63649,             0.24805,             0.23619,            0.081018,            0.040983,            0.019661,           0.0081234,            0.008812,            0.008812,            0.008812
                  14,            0.053939,            0.039388,            0.013203,             0.47295,             0.34009,             0.30112,             0.10252,            0.040213,            0.020996,           0.0052755,            0.008713,            0.008713,            0.008713
                  15,            0.053153,            0.040318,            0.011344,             0.41585,             0.35229,             0.27612,            0.093123,            0.041577,            0.020975,           0.0056609,            0.008614,            0.008614,            0.008614
                  16,            0.052765,            0.038902,             0.01152,             0.50808,             0.40874,             0.36575,             0.13635,             0.03829,            0.019475,           0.0051462,            0.008515,            0.008515,            0.008515
                  17,            0.050829,            0.037936,           0.0099896,             0.49072,              0.4418,             0.36244,             0.12817,            0.038297,            0.023428,           0.0047126,            0.008416,            0.008416,            0.008416
                  18,             0.05046,            0.038543,            0.010148,             0.65678,             0.35133,             0.37198,             0.13975,            0.035872,            0.020249,            0.003631,            0.008317,            0.008317,            0.008317
                  19,            0.049127,            0.038206,           0.0086463,              0.5503,             0.41874,             0.40128,             0.14963,            0.036809,            0.018111,           0.0049179,            0.008218,            0.008218,            0.008218
                  20,            0.047605,            0.037191,           0.0085098,             0.52622,             0.40066,             0.37077,             0.13557,            0.038111,             0.01768,           0.0048096,            0.008119,            0.008119,            0.008119
                  21,            0.048165,             0.03786,            0.007706,             0.38126,             0.45143,             0.39767,             0.14983,            0.038717,            0.018444,            0.005191,             0.00802,             0.00802,             0.00802
                  22,             0.04776,            0.037754,           0.0079738,             0.55397,             0.49716,             0.45443,             0.17585,            0.035917,            0.019746,           0.0033363,            0.007921,            0.007921,            0.007921
                  23,            0.047211,            0.036534,           0.0078734,             0.59111,             0.36523,             0.40205,             0.15856,            0.036873,            0.016964,           0.0042868,            0.007822,            0.007822,            0.007822
                  24,            0.045991,            0.036323,           0.0074165,             0.52938,             0.44633,             0.43527,             0.18122,            0.036608,            0.017209,           0.0045361,            0.007723,            0.007723,            0.007723
                  25,            0.046829,            0.036939,           0.0068684,             0.34227,             0.46451,             0.37864,             0.14202,            0.038348,            0.017759,           0.0058889,            0.007624,            0.007624,            0.007624
                  26,            0.046159,            0.036287,           0.0070834,             0.53096,             0.48206,             0.43695,             0.16756,            0.037773,            0.018833,           0.0037858,            0.007525,            0.007525,            0.007525
                  27,            0.046567,            0.037469,           0.0069497,              0.5987,              0.4829,             0.51145,             0.19635,            0.033582,            0.018338,           0.0030667,            0.007426,            0.007426,            0.007426
                  28,            0.046072,            0.036187,           0.0067611,             0.68468,             0.42037,             0.47223,             0.19443,            0.035482,            0.017475,           0.0032399,            0.007327,            0.007327,            0.007327
                  29,            0.043592,             0.03663,           0.0053926,             0.61865,             0.51734,             0.53281,             0.22188,            0.033029,            0.018446,           0.0026713,            0.007228,            0.007228,            0.007228
                  30,            0.043725,            0.035936,           0.0056305,             0.60216,             0.51568,             0.52048,             0.21793,            0.032325,            0.017266,           0.0026394,            0.007129,            0.007129,            0.007129
                  31,            0.043584,            0.035193,           0.0060639,              0.7041,             0.42943,             0.47583,             0.18814,            0.033621,            0.018336,           0.0037097,             0.00703,             0.00703,             0.00703
                  32,            0.043981,             0.03748,           0.0059028,             0.60595,             0.54806,             0.57018,             0.23973,            0.032196,            0.016668,             0.00305,            0.006931,            0.006931,            0.006931
                  33,            0.043776,            0.035629,           0.0059217,             0.67406,             0.47643,             0.55298,             0.23617,            0.032881,            0.017248,           0.0028112,            0.006832,            0.006832,            0.006832
                  34,            0.042979,            0.035874,           0.0050273,             0.73657,             0.42938,             0.53023,             0.22606,            0.031622,             0.01848,           0.0025034,            0.006733,            0.006733,            0.006733
                  35,            0.043254,            0.035483,            0.005277,             0.66338,             0.48116,             0.54063,             0.23156,            0.031198,            0.016187,           0.0027365,            0.006634,            0.006634,            0.006634
